Country.of.Origin,Species,Owner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Cuper.Points
Ethiopia,Arabica,metad plc,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0,Green,1.0,8.58
Ethiopia,Arabica,metad plc,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0,Green,2.0,8.58
Peru,Arabica,hugo valdivia,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0,Bluish-Green,0.0,8.5
Ethiopia,Arabica,diamond enterprise plc,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0,Green,4.0,8.5
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0,Green,0.0,8.42
United States,Arabica,cqi q coffee sample representative,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0,0,None,0.0,8.17
Costa Rica,Arabica,the coffee source inc.,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0,Green,2.0,8.33
Mexico,Arabica,roberto licona franco,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0,Green,0.0,8.58
Brazil,Arabica,nucoffee,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0,Green,2.0,7.92
Uganda,Arabica,kabum trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0,Green,1.0,8.17
Taiwan,Arabica,"lin, che-hao krude ???",Sumatra,Pulped natural / honey,8.0,8,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0,Green,0.0,8.17
Brazil,Arabica,nucoffee,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8,86.42,0.12,0,0,Green,2.0,8.0
Costa Rica,Arabica,francisco a mena,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0,Blue-Green,0.0,8.42
Kenya,Arabica,daniel magu,SL34,Washed / Wet,8.08,8,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0,Blue-Green,1.0,8.08
Thailand,Arabica,itdp international,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0,Green,9.0,8.42
Taiwan,Arabica,"lin, che-hao krude ???",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0,Green,0.0,8.42
Kenya,Arabica,jungle estate,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8,86.08,0.11,0,0,Bluish-Green,2.0,8.0
Brazil,Arabica,nucoffee,Bourbon,Semi-washed / Semi-pulped,8.33,8,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8,86.08,0.11,0,0,Blue-Green,2.0,8.0
Colombia,Arabica,lusso lab,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0,Green,1.0,8.17
Kenya,Arabica,lusso lab,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0,Green,1.0,8.17
Uganda,Arabica,afca,Other,Washed / Wet,8.25,8,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0,Blue-Green,0.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8,85.92,0.1,0,1,Green,3.0,8.0
Uganda,Arabica,kawacom uganda ltd,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8,85.92,0.12,0,0,Green,0.0,8.0
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,8.0,8,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0,Blue-Green,0.0,7.92
Panama,Arabica,gonzalo hernandez,Gesha,Washed / Wet,8.0,8,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8,85.83,0.08,0,1,Bluish-Green,0.0,8.0
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,8,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8,85.83,0.12,0,0,Green,3.0,8.0
Guatemala,Arabica,juan luis alvarado romero,Catuai,Washed / Wet,8.0,8,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8,85.83,0.1,0,0,Bluish-Green,1.0,8.0
Ethiopia,Arabica,seid damtew coffee planataion,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8,85.75,0.09,0,4,None,7.0,8.0
El Salvador,Arabica,atlantic specialty coffee,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8,85.58,0.1,0,0,Blue-Green,3.0,8.0
El Salvador,Arabica,lusso lab,Bourbon,Semi-washed / Semi-pulped,7.83,8,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0,None,0.0,7.92
Kenya,Arabica,essencecoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8,85.5,0.1,0,0,Green,3.0,8.0
Ethiopia,Arabica,assefa belay coffee producer,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8,85.5,0.12,0,0,Green,7.0,8.0
Uganda,Arabica,kyagalanyi ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0,Green,1.0,8.08
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0,Green,1.0,7.83
Uganda,Arabica,great lakes coffee uganda,SL14,Washed / Wet,8.08,8,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8,85.42,0.12,0,0,Green,5.0,8.0
Brazil,Arabica,nucoffee,Bourbon,Semi-washed / Semi-pulped,8.0,8,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8,85.42,0.11,0,0,Blue-Green,1.0,8.0
China,Arabica,yunnan coffee exchange,Catimor,Natural / Dry,8.0,8,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0,Green,0.0,7.92
Guatemala,Arabica,essencecoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0,Green,1.0,7.83
Costa Rica,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8,85.33,0.0,0,0,Bluish-Green,0.0,8.0
Costa Rica,Arabica,the coffee source inc.,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0,Bluish-Green,2.0,7.92
Kenya,Arabica,rashid moledina & co. (msa) ltd.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0,Green,2.0,7.92
Kenya,Arabica,ibero kenya limited,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0,Green,6.0,7.83
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0,Green,0.0,7.92
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0,Green,2.0,7.92
Indonesia,Arabica,"nomura trading co., ltd.",Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8,85.17,0.11,0,0,Green,3.0,8.0
Ethiopia,Arabica,seid damtew coffee planataion,Other,Natural / Dry,7.75,8,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1,Green,8.0,7.83
United States (Hawaii),Arabica,eileen koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0,Bluish-Green,2.0,7.92
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0,Green,8.0,8.08
Uganda,Arabica,kyagalanyi coffee ltd,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8,85.0,0.11,0,0,Green,1.0,8.0
